bedrooms,location,area,bathrooms,parking,price
1.0,Observatory,58.0,1,1,1475000.0
3.0,Observatory,90.0,2,1,2450000.0
1.0,Observatory,42.0,1,1,1350000.0
2.0,Observatory,60.0,1,1,1795000.0
1.0,Observatory,41.0,1,1,1395000.0
0,Observatory,32.0,1,2,1050000.0
2.0,Observatory,60.0,1,1,1800000.0
2.0,Observatory,72.0,1,1,2550000.0
1.0,Observatory,54.0,1,1,1395000.0
2.0,Observatory,62.0,1,1,1750000.0
2.0,Observatory,68.0,1,1,1250000.0
1.0,Observatory,40.0,1,1,1550000.0
1.0,Observatory,102.0,1,1,1495000.0
1.0,Observatory,45.0,1,1,1395000.0
1.0,Observatory,58.0,2,1,1995000.0
2.0,Observatory,68.0,2,1,1695000.0
2.0,Observatory,60.0,1,1,1695000.0
2.0,Observatory,74.0,2,1,1795000.0
2.0,Observatory,66.0,2,1,1895000.0
2.0,Observatory,60.0,2,1,1895000.0
2.0,Observatory,63.0,2,1,1595000.0
1.0,Observatory,58.0,1,1,2195000.0
2.0,Observatory,77.0,2,1,2150000.0
2.0,Observatory,62.0,2,1,1750000.0
2.0,Observatory,65.0,2,2,1995000.0
2.0,Observatory,63.0,2,1,1595000.0
0.0,Observatory,40.0,1,1,1125000.0
2.0,Observatory,57.0,2,1,1850000.0
2.0,Observatory,64.0,1,2,2024000.0
2.0,Observatory,68.0,2,1,2231000.0
1.0,Observatory,109.0,1,1,2495000.0
2.0,Observatory,60.0,2,1,1795000.0
0,Observatory,40.0,1,1,1195000.0
2.0,Observatory,61.0,2,1,1740000.0
2.0,Observatory,65.0,2,1,1900000.0
0.0,Observatory,40.0,1,1,1095000.0
1.0,Observatory,42.0,1,1,2090000.0
0,Observatory,40.0,1,1,1275000.0
2.0,Observatory,65.0,2,1,1950000.0
2.0,Observatory,77.0,2,1,2250000.0
2.0,Observatory,77.0,2,1,2250000.0
1.0,Observatory,38.0,1,1,1395000.0
1.0,Observatory,45.0,1,1,1250000.0
2.0,Observatory,61.0,2,1,1795000.0
2.0,Observatory,65.0,2,1,1750000.0
0,Observatory,45.0,1,1,2180000.0
1.0,Observatory,32.0,1,2,895000.0
1.0,Observatory,44.0,1,1,1999000.0
2.0,Observatory,79.0,2,1,2760000.0
2.0,Observatory,71.0,2,1,1895000.0
2.0,Observatory,79.0,2,1,2760000.0
1.0,Observatory,59.0,1,2,1995000.0
2.0,Observatory,64.0,1,2,1895000.0
2.0,Observatory,73.0,2,2,2650000.0
2.0,Observatory,65.0,2,1,1795000.0
1.0,Observatory,50.0,1,1,1990000.0
2.0,Observatory,71.0,2,1,2250000.0
2.0,Observatory,57.0,2,1,2130000.0
2.0,Observatory,65.0,2,1,2290000.0
2.0,Observatory,75.0,2,2,2229300.0
2.0,Observatory,86.0,2,1,3945000.0
2.0,Observatory,65.0,2,2,1995000.0
1.0,Observatory,72.0,1,2,1395000.0
2.0,Observatory,73.0,2,1,2600000.0
2.0,Observatory,78.0,1,1,2300000.0
1.0,Observatory,43.0,1,1,1437500.0
1.0,Observatory,72.0,1,2,1395000.0
2.0,Observatory,64.0,2,1,1900000.0
1.0,Observatory,41.0,1,1,1950000.0
2.0,Observatory,68.0,2,1,2950000.0
0.0,Observatory,41.0,1,1,1230000.0
2.0,Observatory,75.0,2,1,2350000.0
2.0,Observatory,68.0,2,2,1900000.0
1.0,Observatory,46.0,1,1,1380000.0
2.0,Observatory,73.0,2,1,2550000.0
1.0,Observatory,39.0,1,1,1450000.0
2.0,Observatory,87.0,2,1,3945000.0
